time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-2-16 12:21:24.188	WT901BLE67(C7:80:21:F9:6E:55)	10.380	10.122	12.779	1070.496	655.701	-327.698	93.15	-45.26	-86.44	-27.420	27.347	13.227	0.73392	0.31281	-0.58850	-0.13068	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.319	WT901BLE67(C7:80:21:F9:6E:55)	7.965	7.442	9.285	1010.925	643.982	-406.067	89.14	-44.93	-84.13	-27.420	27.347	13.227	0.73392	0.31281	-0.58850	-0.13068	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.393	WT901BLE67(C7:80:21:F9:6E:55)	5.500	4.752	5.729	949.097	631.165	-483.215	75.06	-45.68	-70.27	-24.587	31.167	7.473	0.73392	0.31281	-0.58850	-0.13068	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.506	WT901BLE67(C7:80:21:F9:6E:55)	2.990	2.051	2.114	890.503	618.042	-555.664	51.43	-41.74	-44.41	-24.587	31.167	7.473	0.73392	0.31281	-0.58850	-0.13068	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.599	WT901BLE67(C7:80:21:F9:6E:55)	0.438	-0.657	-1.563	835.022	611.755	-637.146	39.95	-36.39	-30.12	-24.587	31.167	7.473	0.89716	0.23285	-0.35580	-0.11908	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.712	WT901BLE67(C7:80:21:F9:6E:55)	-2.159	-3.367	-5.307	781.860	613.159	-720.703	40.09	-37.49	-31.44	-24.587	31.167	7.473	0.89716	0.23285	-0.35580	-0.11908	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.789	WT901BLE67(C7:80:21:F9:6E:55)	-4.792	-6.076	-9.117	729.309	614.563	-806.152	64.96	-45.84	-58.94	-24.587	31.167	7.473	0.89716	0.23285	-0.35580	-0.11908	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.920	WT901BLE67(C7:80:21:F9:6E:55)	-7.482	-8.785	-12.992	684.570	610.901	-880.371	87.52	-45.53	-91.77	-24.587	31.167	7.473	0.89716	0.23285	-0.35580	-0.11908	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:24.993	WT901BLE67(C7:80:21:F9:6E:55)	-10.220	-11.500	15.073	606.934	604.187	-956.421	87.28	-44.30	-94.61	-26.327	27.707	14.013	0.89716	0.23285	-0.35580	-0.11908	28.3	0.00	0.000	10080.1.13	75
2026-2-16 12:21:25.126	WT901BLE67(C7:80:21:F9:6E:55)	-11.967	-14.216	11.075	547.974	605.652	-1036.743	84.16	-44.22	-93.41	-26.327	27.707	14.013	0.89716	0.23285	-0.35580	-0.11908	28.3	0.00	0.000	10080.1.13	75
